States,Latitude,Longitude
Andaman And Nicobar (1),11.66702557,92.73598262
Andhra Pradesh (20),14.7504291,78.57002559
Arunachal Pradesh (1),27.10039878,93.61660071
Assam (6),26.7499809,94.21666744
Bihar (6),25.78541445,87.4799727
Chandigarh (1),30.71999697,76.78000565
Chhattisgarh (3),22.09042035,82.15998734
Dadra And Nagar Haveli (12),20.26657819,73.0166178
Delhi (2),28.6699929,77.23000403
Goa (1),15.491997,73.81800065
Haryana (10),28.45000633,77.01999101
Himachal Pradesh (2),31.10002545,77.16659704
Jammu And Kashmir (4),34.29995933,74.46665849
Jharkhand (3),23.80039349,86.41998572
Karnataka (16),12.57038129,76.91999711
Kerala (5),8.900372741,76.56999263
Lakshadweep (1),10.56257331,72.63686717
Madhya Pradesh (8),21.30039105,76.13001949
Maharashtra (20),19.25023195,73.16017493
Manipur (1),24.79997072,93.95001705
Meghalaya (1),25.57049217,91.8800142
Mizoram (1),23.71039899,92.72001461
Nagaland (1),25.6669979,94.11657019
Orissa (6),19.82042971,85.90001746
Puducherry (1),11.93499371,79.83000037
Punjab (6),31.51997398,75.98000281
Rajasthan (12),26.44999921,74.63998124
Sikkim (1),27.3333303,88.6166475
Tamil Nadu (19),12.92038576,79.15004187
Tripura (1),23.83540428,91.27999914
Uttar Pradesh (29),27.59998069,78.05000565
Uttaranchal (1),30.32040895,78.05000565
West Bengal (10),22.58039044,88.32994665
Gujarat,23.216667,72.683333
Telangana,17.366,78.475
Ladakh,34,77.5
