State,Bank,Area_type,#Branches
ANDAMAN & NICOBAR ISLANDS,BANK OF BARODA,Rural,1
ANDAMAN & NICOBAR ISLANDS,BANK OF BARODA,Semi-urban,1
ANDAMAN & NICOBAR ISLANDS,BANK OF BARODA,Urban,2
ANDAMAN & NICOBAR ISLANDS,BANK OF INDIA,Urban,1
ANDAMAN & NICOBAR ISLANDS,BANK OF MAHARASHTRA,Urban,1
ANDAMAN & NICOBAR ISLANDS,CANARA BANK,Rural,5
ANDAMAN & NICOBAR ISLANDS,CANARA BANK,Semi-urban,2
ANDAMAN & NICOBAR ISLANDS,CANARA BANK,Urban,6
ANDAMAN & NICOBAR ISLANDS,CENTRAL BANK OF INDIA,Urban,1
ANDAMAN & NICOBAR ISLANDS,INDIAN BANK,Urban,2
ANDAMAN & NICOBAR ISLANDS,INDIAN OVERSEAS BANK,Semi-urban,1
ANDAMAN & NICOBAR ISLANDS,INDIAN OVERSEAS BANK,Urban,1
ANDAMAN & NICOBAR ISLANDS,PUNJAB NATIONAL BANK,Semi-urban,2
ANDAMAN & NICOBAR ISLANDS,PUNJAB NATIONAL BANK,Urban,3
ANDAMAN & NICOBAR ISLANDS,UCO BANK,Urban,1
ANDAMAN & NICOBAR ISLANDS,UNION BANK OF INDIA,Urban,1
ANDHRA PRADESH,BANK OF BARODA,Metropolitan,31
ANDHRA PRADESH,BANK OF BARODA,Rural,74
ANDHRA PRADESH,BANK OF BARODA,Semi-urban,68
ANDHRA PRADESH,BANK OF BARODA,Urban,72
ANDHRA PRADESH,BANK OF INDIA,Metropolitan,23
ANDHRA PRADESH,BANK OF INDIA,Rural,32
ANDHRA PRADESH,BANK OF INDIA,Semi-urban,63
ANDHRA PRADESH,BANK OF INDIA,Urban,48
ANDHRA PRADESH,BANK OF MAHARASHTRA,Metropolitan,5
ANDHRA PRADESH,BANK OF MAHARASHTRA,Rural,2
ANDHRA PRADESH,BANK OF MAHARASHTRA,Semi-urban,3
ANDHRA PRADESH,BANK OF MAHARASHTRA,Urban,15
ANDHRA PRADESH,CANARA BANK,Metropolitan,87
ANDHRA PRADESH,CANARA BANK,Rural,263
ANDHRA PRADESH,CANARA BANK,Semi-urban,189
ANDHRA PRADESH,CANARA BANK,Urban,172
ANDHRA PRADESH,CENTRAL BANK OF INDIA,Metropolitan,23
ANDHRA PRADESH,CENTRAL BANK OF INDIA,Rural,31
ANDHRA PRADESH,CENTRAL BANK OF INDIA,Semi-urban,45
ANDHRA PRADESH,CENTRAL BANK OF INDIA,Urban,37
ANDHRA PRADESH,INDIAN BANK,Metropolitan,38
ANDHRA PRADESH,INDIAN BANK,Rural,99
ANDHRA PRADESH,INDIAN BANK,Semi-urban,92
ANDHRA PRADESH,INDIAN BANK,Urban,86
ANDHRA PRADESH,INDIAN OVERSEAS BANK,Metropolitan,26
ANDHRA PRADESH,INDIAN OVERSEAS BANK,Rural,42
ANDHRA PRADESH,INDIAN OVERSEAS BANK,Semi-urban,45
ANDHRA PRADESH,INDIAN OVERSEAS BANK,Urban,46
ANDHRA PRADESH,PUNJAB AND SIND BANK,Metropolitan,4
ANDHRA PRADESH,PUNJAB AND SIND BANK,Urban,6
ANDHRA PRADESH,PUNJAB NATIONAL BANK,Metropolitan,36
ANDHRA PRADESH,PUNJAB NATIONAL BANK,Rural,15
ANDHRA PRADESH,PUNJAB NATIONAL BANK,Semi-urban,35
ANDHRA PRADESH,PUNJAB NATIONAL BANK,Urban,58
ANDHRA PRADESH,UCO BANK,Metropolitan,7
ANDHRA PRADESH,UCO BANK,Rural,11
ANDHRA PRADESH,UCO BANK,Semi-urban,7
ANDHRA PRADESH,UCO BANK,Urban,18
ANDHRA PRADESH,UNION BANK OF INDIA,Metropolitan,141
ANDHRA PRADESH,UNION BANK OF INDIA,Rural,447
ANDHRA PRADESH,UNION BANK OF INDIA,Semi-urban,400
ANDHRA PRADESH,UNION BANK OF INDIA,Urban,283
ARUNACHAL PRADESH,BANK OF BARODA,Rural,1
ARUNACHAL PRADESH,BANK OF BARODA,Semi-urban,5
ARUNACHAL PRADESH,BANK OF INDIA,Rural,2
ARUNACHAL PRADESH,BANK OF INDIA,Semi-urban,3
ARUNACHAL PRADESH,BANK OF MAHARASHTRA,Semi-urban,1
ARUNACHAL PRADESH,CANARA BANK,Rural,2
ARUNACHAL PRADESH,CANARA BANK,Semi-urban,8
ARUNACHAL PRADESH,CENTRAL BANK OF INDIA,Rural,2
ARUNACHAL PRADESH,CENTRAL BANK OF INDIA,Semi-urban,6
ARUNACHAL PRADESH,INDIAN BANK,Semi-urban,3
ARUNACHAL PRADESH,INDIAN OVERSEAS BANK,Semi-urban,1
ARUNACHAL PRADESH,PUNJAB AND SIND BANK,Semi-urban,1
ARUNACHAL PRADESH,PUNJAB NATIONAL BANK,Rural,1
ARUNACHAL PRADESH,PUNJAB NATIONAL BANK,Semi-urban,7
ARUNACHAL PRADESH,UCO BANK,Rural,1
ARUNACHAL PRADESH,UCO BANK,Semi-urban,1
ARUNACHAL PRADESH,UNION BANK OF INDIA,Semi-urban,1
ASSAM,BANK OF BARODA,Rural,12
ASSAM,BANK OF BARODA,Semi-urban,20
ASSAM,BANK OF BARODA,Urban,36
ASSAM,BANK OF INDIA,Rural,11
ASSAM,BANK OF INDIA,Semi-urban,18
ASSAM,BANK OF INDIA,Urban,23
ASSAM,BANK OF MAHARASHTRA,Semi-urban,4
ASSAM,BANK OF MAHARASHTRA,Urban,7
ASSAM,CANARA BANK,Rural,28
ASSAM,CANARA BANK,Semi-urban,42
ASSAM,CANARA BANK,Urban,42
ASSAM,CENTRAL BANK OF INDIA,Rural,59
ASSAM,CENTRAL BANK OF INDIA,Semi-urban,33
ASSAM,CENTRAL BANK OF INDIA,Urban,33
ASSAM,INDIAN BANK,Rural,50
ASSAM,INDIAN BANK,Semi-urban,37
ASSAM,INDIAN BANK,Urban,31
ASSAM,INDIAN OVERSEAS BANK,Rural,7
ASSAM,INDIAN OVERSEAS BANK,Semi-urban,12
ASSAM,INDIAN OVERSEAS BANK,Urban,12
ASSAM,PUNJAB AND SIND BANK,Rural,2
ASSAM,PUNJAB AND SIND BANK,Semi-urban,2
ASSAM,PUNJAB AND SIND BANK,Urban,11
ASSAM,PUNJAB NATIONAL BANK,Rural,180
ASSAM,PUNJAB NATIONAL BANK,Semi-urban,96
ASSAM,PUNJAB NATIONAL BANK,Urban,99
ASSAM,UCO BANK,Rural,70
ASSAM,UCO BANK,Semi-urban,45
ASSAM,UCO BANK,Urban,29
ASSAM,UNION BANK OF INDIA,Rural,24
ASSAM,UNION BANK OF INDIA,Semi-urban,34
ASSAM,UNION BANK OF INDIA,Urban,39
BIHAR,BANK OF BARODA,Metropolitan,39
BIHAR,BANK OF BARODA,Rural,97
BIHAR,BANK OF BARODA,Semi-urban,100
BIHAR,BANK OF BARODA,Urban,69
BIHAR,BANK OF INDIA,Metropolitan,33
BIHAR,BANK OF INDIA,Rural,134
BIHAR,BANK OF INDIA,Semi-urban,136
BIHAR,BANK OF INDIA,Urban,53
BIHAR,BANK OF MAHARASHTRA,Metropolitan,5
BIHAR,BANK OF MAHARASHTRA,Rural,1
BIHAR,BANK OF MAHARASHTRA,Semi-urban,4
BIHAR,BANK OF MAHARASHTRA,Urban,12
BIHAR,CANARA BANK,Metropolitan,45
BIHAR,CANARA BANK,Rural,116
BIHAR,CANARA BANK,Semi-urban,83
BIHAR,CANARA BANK,Urban,79
BIHAR,CENTRAL BANK OF INDIA,Metropolitan,37
BIHAR,CENTRAL BANK OF INDIA,Rural,198
BIHAR,CENTRAL BANK OF INDIA,Semi-urban,139
BIHAR,CENTRAL BANK OF INDIA,Urban,76
BIHAR,INDIAN BANK,Metropolitan,43
BIHAR,INDIAN BANK,Rural,120
BIHAR,INDIAN BANK,Semi-urban,89
BIHAR,INDIAN BANK,Urban,60
BIHAR,INDIAN OVERSEAS BANK,Metropolitan,9
BIHAR,INDIAN OVERSEAS BANK,Rural,12
BIHAR,INDIAN OVERSEAS BANK,Semi-urban,18
BIHAR,INDIAN OVERSEAS BANK,Urban,21
BIHAR,JAMMU & KASHMIR BANK LTD,Metropolitan,1
BIHAR,PUNJAB AND SIND BANK,Metropolitan,4
BIHAR,PUNJAB AND SIND BANK,Semi-urban,2
BIHAR,PUNJAB AND SIND BANK,Urban,10
BIHAR,PUNJAB NATIONAL BANK,Metropolitan,59
BIHAR,PUNJAB NATIONAL BANK,Rural,372
BIHAR,PUNJAB NATIONAL BANK,Semi-urban,199
BIHAR,PUNJAB NATIONAL BANK,Urban,145
