pincode,place_name,state_name,latitude,longitude
110001,Connaught Place,New Delhi,28.6333,77.2167
110002,Darya Ganj,New Delhi,28.6333,77.25
110003,Aliganj,New Delhi,28.65,77.2167
110004,Rashtrapati Bhawan,New Delhi,28.65,77.2167
110005,Lower Camp Anand Parbat,New Delhi,28.65,77.2
110006,Bara Tooti,New Delhi,28.65,77.2167
110007,Birla Lines,New Delhi,28.6833,77.2
110008,Patel Nagar,New Delhi,28.65,77.2167
110010,Delhi Cantt,New Delhi,28.55,77.2667
110011,Nirman Bhawan,New Delhi,28.55,77.2667
110012,Inderpuri,New Delhi,28.55,77.2667
110013,Hazrat Nizamuddin,New Delhi,28.55,77.2667
110014,Jangpura,New Delhi,28.55,77.2667
110015,Zakhira,New Delhi,28.55,77.2667
110016,Hauz Khas,New Delhi,28.55,77.2667
110017,Malviya Nagar,New Delhi,28.55,77.2667
110018,Vishnu Garden,New Delhi,28.55,77.2667
110019,Nehru Place,New Delhi,28.55,77.2667
110020,Flatted Factories Complex,New Delhi,28.6488,77.1726
110021,Malcha Marg,New Delhi,28.6488,77.1726
110022,Postal Saving Bureau,New Delhi,28.6488,77.1726
110023,Kidwai Nagar,New Delhi,28.6488,77.1726
110024,Lajpat Nagar,New Delhi,28.6488,77.1726
110025,Jamia Nagar,New Delhi,28.6488,77.1726
110026,Punjabi Bagh,New Delhi,28.6488,77.1726
110027,J 6block Rajouri Garden,New Delhi,28.6488,77.1726
110028,Naraina Industrial Estate,New Delhi,28.6488,77.1726
110029,Himayunpur Extn,New Delhi,28.6488,77.1726
110030,T B Hospital,New Delhi,28.7556,77.1667
110031,Gandhi Nagar,New Delhi,28.7556,77.1667
110032,Shahdara,New Delhi,28.6667,77.3167
110033,Adarsh Nagar,New Delhi,28.7556,77.1667
110034,Pitampura,New Delhi,28.7556,77.1667
110035,Inderlok,New Delhi,28.7556,77.1667
110036,Alipur,New Delhi,28.8,77.15
110037,Gurgaon Road,New Delhi,28.7556,77.1667
110038,A F Rajokari,New Delhi,28.7556,77.1667
110039,Bawana,New Delhi,28.8,77.0333
110040,Sanoth,New Delhi,28.85,77.1
110041,Nagloi,New Delhi,28.6092,77.1569
110042,Badli,New Delhi,28.6092,77.1569
110043,Najafgarh,New Delhi,28.6125,76.9847
110044,Badarpur T P Station,New Delhi,28.5083,77.3
110045,Palam Enclave,New Delhi,28.5667,77.1
110046,Nangal Rava,New Delhi,28.6092,77.1569
110047,Arjan Garh,New Delhi,28.6092,77.1569
110048,Kailash,New Delhi,28.6092,77.1569
110049,Andrews Ganj,New Delhi,28.6092,77.1569
110051,Azad Nagar,New Delhi,28.6167,77.2167
110052,Wazirpur Phase Iii,New Delhi,28.6167,77.2167
110053,Zafrabad,New Delhi,28.6167,77.2167
110054,Civil Lines,New Delhi,28.6167,77.2167
110055,Paharganj,New Delhi,28.6167,77.2167
110056,Shakurbasti,New Delhi,28.6167,77.2167
110057,Munirka,New Delhi,28.6167,77.2167
110058,Janakpuri,New Delhi,28.6167,77.2167
110059,Uttam Nagar,New Delhi,28.6167,77.2167
110060,New Rajinder Nagar,New Delhi,28.6488,77.1726
110061,Bijwasan,New Delhi,28.6488,77.1726
110062,Hamdard Nagar,New Delhi,28.6488,77.1726
110063,Paschim Vihar,New Delhi,28.6488,77.1726
110064,Hari Nagar Be Block,New Delhi,28.6488,77.1726
110065,East Of Kailash,New Delhi,28.6488,77.1726
110066,R K Puram,New Delhi,28.6488,77.1726
110067,D D A Munirka,New Delhi,28.6488,77.1726
110070,Vasant Kunj,New Delhi,28.6528,76.9539
110071,Chhawla,New Delhi,28.6528,76.9539
110072,Jharoda Kalan,New Delhi,28.6528,76.9539
110073,Ujwa,New Delhi,28.6528,76.9539
110081,Kanjhawala,New Delhi,28.6488,77.1726
110082,Khera Kalan,New Delhi,28.6488,77.1726
110083,Mangolpuri Block A,New Delhi,28.6488,77.1726
110084,Kutubgarh,New Delhi,28.6488,77.1726
110088,Shalimar Bagh,New Delhi,28.7165,77.1629
110091,Himmatpuri,New Delhi,28.6488,77.1726
110092,Shakarpur,New Delhi,28.6488,77.1726
110093,Nand Nagri A Block,New Delhi,28.6488,77.1726
